iter	RMSE
0	0.8094496731
1	0.7959683181
2	0.7831853895
3	0.7717351595
4	0.7596813392
5	0.7481830454
6	0.7375182124
7	0.7278770506
8	0.7173870371
9	0.7088501513
10	0.7004765061
11	0.6921582805
12	0.6850405011
13	0.6772582
14	0.6701813116
15	0.6645623899
16	0.659063018
17	0.6528509081
18	0.6472946644
19	0.6433982055
20	0.6377425423
21	0.6322649836
22	0.626988774
23	0.6223907906
24	0.6181023483
25	0.6131448748
26	0.6073045504
27	0.6027801255
28	0.5981192318
29	0.5945798013
30	0.5920324751
31	0.5889230009
32	0.5847691808
33	0.5807795746
34	0.5772335851
35	0.5742952015
36	0.5711993453
37	0.5686933847
38	0.5656566676
39	0.564239792
40	0.5620527738
41	0.5588915507
42	0.5563530074
43	0.5547341459
44	0.5520234251
45	0.5490016159
46	0.5470718351
47	0.5450835569
48	0.5426917557
49	0.5403240125
50	0.5380729824
51	0.5354230388
52	0.5334477416
53	0.5309520268
54	0.5279992143
55	0.5263847521
56	0.5247067859
57	0.5232573276
58	0.520575764
59	0.5188376876
60	0.5174431482
61	0.5159383525
62	0.5128851382
63	0.5112519268
64	0.5094257057
65	0.5083193079
66	0.5069163423
67	0.5053415405
68	0.5037175995
69	0.5018881806
70	0.5010579572
71	0.4991651162
72	0.4978671408
73	0.4967246974
74	0.4952571402
75	0.4939274954
76	0.4928155868
77	0.4918345635
78	0.4902287606
79	0.4885686397
80	0.4867060114
81	0.4849282425
82	0.4844332043
83	0.4832198099
84	0.482830231
85	0.4808173601
86	0.4797511777
87	0.4787730248
88	0.4768417259
89	0.4763569173
90	0.4742219573
91	0.4733302803
92	0.4726022054
93	0.4712414577
94	0.4701933598
95	0.4691400535
96	0.4679894658
97	0.4662758239
98	0.4648363994
99	0.4624730879
100	0.4608327703
101	0.4592766564
102	0.4572461508
103	0.4565650187
104	0.4558264518
105	0.4550728804
106	0.4541724344
107	0.4529647719
108	0.4516664965
109	0.4503724316
110	0.4488212907
111	0.4487882502
112	0.4479674309
113	0.4460695172
114	0.4450003138
115	0.4439487884
116	0.4428079458
117	0.4420734024
118	0.4413653167
119	0.4408049347
120	0.440162434
121	0.4397280891
122	0.4394576759
123	0.4376784223
124	0.435699283
125	0.434917021
126	0.4331764376
127	0.4325691388
128	0.4322318649
129	0.4304216295
130	0.4293840312
131	0.4286654395
132	0.4280858219
133	0.4268928562
134	0.4254372794
135	0.4248976358
136	0.4237624411
137	0.4227047678
138	0.4219897694
139	0.4214910628
140	0.421076569
141	0.4198938369
142	0.4191046567
143	0.4180487313
144	0.416918473
145	0.4166965214
146	0.4164708748
147	0.4163251355
148	0.4161535905
149	0.4160065056
150	0.4156464555
151	0.4151862665
152	0.4133720544
153	0.4131895296
154	0.4122811361
155	0.4118957836
156	0.4116404693
157	0.4115979954
158	0.411253903
159	0.4111587127
160	0.4106435404
161	0.4093097091
162	0.4092031989
163	0.4075714375
164	0.4072666059
165	0.4070331422
166	0.4051798611
167	0.4034128958
168	0.4021124061
169	0.4000885868
170	0.3999593617
