iter	Passed	Remaining
0	158	26985
1	169	14353
2	181	10179
3	192	8037
4	204	6791
5	215	5935
6	228	5363
7	240	4904
8	252	4539
9	263	4242
10	274	3985
11	284	3769
12	295	3594
13	305	3431
14	315	3283
15	326	3165
16	337	3059
17	348	2960
18	358	2869
19	369	2792
20	379	2712
21	390	2645
22	401	2583
23	410	2516
24	421	2459
25	430	2402
26	443	2364
27	468	2392
28	482	2364
29	496	2331
30	508	2295
31	519	2258
32	533	2229
33	544	2193
34	556	2161
35	567	2126
36	576	2089
37	587	2057
38	599	2029
39	612	2005
40	624	1981
41	635	1951
42	645	1921
43	654	1890
44	664	1861
45	674	1834
46	685	1808
47	695	1781
48	705	1756
49	715	1730
50	724	1704
51	734	1680
52	744	1657
53	754	1633
54	764	1612
55	774	1589
56	784	1569
57	795	1550
58	805	1528
59	815	1507
60	824	1486
61	834	1467
62	845	1449
63	854	1429
64	865	1411
65	874	1391
66	884	1373
67	895	1356
68	904	1337
69	915	1320
70	924	1301
71	933	1284
72	944	1267
73	953	1250
74	963	1233
75	973	1216
76	983	1200
77	993	1184
78	1003	1169
79	1014	1153
80	1024	1138
81	1034	1122
82	1044	1107
83	1053	1091
84	1060	1073
85	1069	1057
86	1080	1043
87	1090	1028
88	1100	1013
89	1106	995
90	1115	980
91	1125	966
92	1135	952
93	1151	943
94	1177	942
95	1201	938
96	1225	934
97	1256	935
98	1283	933
99	1307	928
100	1326	919
101	1349	912
102	1369	903
103	1381	889
104	1398	879
105	1422	872
106	1450	867
107	1472	858
108	1488	846
109	1504	834
110	1523	823
111	1524	802
112	1534	787
113	1544	772
114	1555	757
115	1565	742
116	1575	726
117	1585	712
118	1594	696
119	1605	682
120	1616	667
121	1625	652
122	1637	638
123	1647	624
124	1657	609
125	1667	595
126	1676	580
127	1686	566
128	1696	552
129	1706	538
130	1716	523
131	1724	509
132	1735	495
133	1745	481
134	1755	468
135	1765	454
136	1775	440
137	1786	427
138	1796	413
139	1806	399
140	1817	386
141	1826	373
142	1837	359
143	1847	346
144	1857	333
145	1867	319
146	1876	306
147	1886	293
148	1896	280
149	1906	266
150	1916	253
151	1926	240
152	1935	227
153	1946	214
154	1955	201
155	1967	189
156	1977	176
157	1978	162
158	1988	150
159	1998	137
160	2008	124
161	2018	112
162	2028	99
163	2037	86
164	2049	74
165	2060	62
166	2070	49
167	2081	37
168	2091	24
169	2101	12
170	2111	0
